"order_id","subscriber_id","order_date","tier","region","referral_source","amount","churn_flag"
1,3886,2026-06-28,"Standard","Ontario","Organic",13.49,1
2,2250,2026-02-11,"Signature","Atlantic","Retail_partner",20.76,0
3,874,2026-01-30,"Signature","Atlantic","Referral",23.01,0
4,3912,2026-04-27,"Standard","Atlantic","Organic",14.05,0
5,1343,2026-01-30,"Standard","Atlantic","Social",18.25,0
6,2695,2026-04-02,"Signature","Atlantic","Organic",19.74,0
7,744,2026-05-03,"Discovery","Atlantic","Organic",34.76,0
8,722,2026-06-05,"Standard","Atlantic","Retail_partner",12.69,0
9,3141,2026-02-26,"Standard","Atlantic","Organic",18.74,0
10,189,2026-04-16,"Signature","Atlantic","Organic",21.07,0
11,3862,2026-03-12,"Standard","Atlantic","Search",16.26,0
12,561,2026-02-17,"Standard","Atlantic","Referral",15.59,1
13,254,2026-06-20,"Signature","Atlantic","Social",21.68,0
14,2717,2026-02-13,"Signature","Atlantic","Organic",21.24,0
15,1,2026-06-21,"Standard","Atlantic","Organic",16.24,0
16,2506,2026-02-12,"Discovery","Ontario","Social",34.32,0
17,2862,2026-06-13,"Signature","Atlantic","Social",20.79,0
18,2484,2026-05-22,"Standard","Ontario","Organic",14.5,0
19,3919,2026-02-03,"Discovery","Atlantic","Organic",32.98,0
20,3758,2026-01-30,"Standard","Atlantic","Retail_partner",13.77,1
21,567,2026-02-16,"Signature","Atlantic","Search",24.21,0
22,628,2026-06-19,"Standard","Ontario","Retail_partner",15.89,1
23,3275,2026-04-15,"Standard","Ontario","Social",14.98,0
24,3423,2026-01-07,"Standard","Atlantic","Organic",19.31,1
25,3540,2026-04-15,"Standard","Atlantic","Organic",10.03,0
26,3770,2026-05-29,"Signature","Atlantic","Organic",20.97,1
27,901,2026-04-29,"Standard","Atlantic","Social",11.61,1
28,1534,2026-06-02,"Signature","Atlantic","Search",21.7,0
29,1471,2026-02-19,"Discovery","Atlantic","Social",33.03,0
30,3262,2026-05-28,"Discovery","Ontario","Search",36.87,0
31,2397,2026-05-07,"Standard","Ontario","Organic",16.21,1
32,2991,2026-03-08,"Standard","Atlantic","Organic",13.3,1
33,3394,2026-05-04,"Standard","Atlantic","Social",12.92,0
34,1126,2026-05-10,"Signature","Atlantic","Search",26.25,0
35,3828,2026-03-20,"Standard","Atlantic","Organic",18.43,1
36,3946,2026-02-22,"Standard","Atlantic","Search",18.15,0
37,884,2026-04-25,"Standard","Ontario","Search",17.53,0
38,482,2026-01-15,"Signature","Atlantic","Referral",27.09,0
39,3331,2026-01-06,"Standard","Atlantic","Retail_partner",14.1,0
40,474,2026-03-08,"Standard","Atlantic","Social",18.01,0
41,3572,2026-04-14,"Standard","Atlantic","Search",15.75,0
42,2471,2026-04-14,"Discovery","Atlantic","Organic",32.23,1
43,3025,2026-03-24,"Standard","Ontario","Social",11.9,0
44,383,2026-01-05,"Discovery","Atlantic","Referral",33.49,0
45,2253,2026-03-05,"Standard","Atlantic","Search",16.79,1
46,371,2026-04-29,"Signature","Atlantic","Referral",26.56,0
47,3642,2026-02-18,"Standard","Atlantic","Search",13.47,0
48,2776,2026-02-07,"Discovery","Atlantic","Retail_partner",32.83,0
49,1114,2026-03-11,"Standard","Atlantic","Retail_partner",14.43,0
50,594,2026-06-07,"Standard","Atlantic","Organic",14.37,1
51,3373,2026-03-26,"Standard","Ontario","Organic",19.61,0
52,1460,2026-04-18,"Discovery","Ontario","Search",34.82,0
53,2394,2026-02-27,"Standard","Ontario","Referral",17.7,1
54,2747,2026-06-14,"Standard","Atlantic","Retail_partner",15.61,1
55,2879,2026-03-15,"Signature","Ontario","Search",22.87,0
56,2311,2026-05-31,"Standard","Atlantic","Social",12.49,0
57,1136,2026-04-14,"Discovery","Ontario","Search",30.31,0
58,1105,2026-02-02,"Standard","Atlantic","Retail_partner",18.98,1
59,2745,2026-03-08,"Discovery","Ontario","Search",34.51,0
60,3539,2026-05-04,"Discovery","Atlantic","Referral",31.16,0
61,2006,2026-04-20,"Signature","Atlantic","Social",24.87,1
62,3986,2026-02-19,"Signature","Atlantic","Referral",24.75,0
63,3066,2026-04-10,"Standard","Atlantic","Social",16.78,0
64,128,2026-01-12,"Standard","Atlantic","Organic",12.23,0
65,567,2026-06-19,"Signature","Atlantic","Social",21.43,0
66,3704,2026-04-29,"Signature","Ontario","Social",26.31,0
67,867,2026-05-27,"Signature","Atlantic","Search",23.92,0
68,3785,2026-05-20,"Discovery","Atlantic","Organic",31.97,1
69,2454,2026-01-17,"Standard","Atlantic","Referral",18.63,0
70,726,2026-01-27,"Standard","Atlantic","Search",15.89,0
71,1714,2026-04-24,"Standard","Atlantic","Organic",15.29,1
72,3759,2026-02-11,"Standard","Atlantic","Organic",14.59,0
73,2124,2026-05-26,"Discovery","Atlantic","Organic",33.17,0
74,2482,2026-06-15,"Standard","Atlantic","Social",11.96,1
75,3373,2026-01-02,"Standard","Atlantic","Organic",18.33,0
76,2461,2026-02-14,"Signature","Ontario","Search",23.48,0
77,3915,2026-04-14,"Signature","Atlantic","Referral",20.99,1
78,1248,2026-03-02,"Signature","Atlantic","Social",25.54,1
79,2106,2026-03-06,"Discovery","Ontario","Social",32.81,0
80,29,2026-04-10,"Standard","Atlantic","Referral",14.67,1
81,3855,2026-01-09,"Standard","Atlantic","Referral",14.27,1
82,1891,2026-05-28,"Signature","Atlantic","Organic",26.18,0
83,785,2026-02-12,"Standard","Ontario","Referral",13.93,0
84,1121,2026-06-11,"Discovery","Atlantic","Retail_partner",33.03,0
85,2312,2026-04-02,"Signature","Atlantic","Organic",19.43,0
86,1280,2026-01-30,"Signature","Atlantic","Search",19.77,0
87,3890,2026-05-27,"Signature","Atlantic","Social",25.6,0
88,1950,2026-02-01,"Signature","Atlantic","Retail_partner",25.14,0
89,1568,2026-06-09,"Signature","Atlantic","Social",22.18,0
90,2965,2026-04-18,"Standard","Atlantic","Referral",8.99,0
91,3528,2026-02-07,"Signature","Ontario","Organic",26.59,0
92,1314,2026-01-15,"Standard","Atlantic","Organic",19.25,1
93,454,2026-02-23,"Signature","Atlantic","Social",22,0
94,1550,2026-02-09,"Standard","Atlantic","Search",11.66,0
95,1517,2026-03-26,"Standard","Atlantic","Social",14.53,0
96,3291,2026-05-28,"Standard","Atlantic","Referral",18.37,0
97,1770,2026-04-21,"Standard","Ontario","Search",19.34,0
98,3755,2026-02-24,"Standard","Atlantic","Referral",14,0
99,3206,2026-03-04,"Discovery","Atlantic","Organic",34.49,0
100,2720,2026-06-26,"Discovery","Ontario","Referral",33.65,0
101,3,2026-02-27,"Standard","Atlantic","Social",14.61,0
102,1386,2026-05-29,"Standard","Atlantic","Social",17.65,1
103,3282,2026-06-19,"Discovery","Atlantic","Organic",28.59,0
104,1318,2026-07-01,"Signature","Atlantic","Organic",29.2,0
105,1437,2026-05-08,"Standard","Atlantic","Social",14.06,1
106,911,2026-01-12,"Signature","Atlantic","Search",20.94,0
107,2670,2026-06-12,"Standard","Atlantic","Social",15.86,0
108,1489,2026-04-27,"Standard","Atlantic","Search",14.75,0
109,1412,2026-02-02,"Standard","Atlantic","Social",10.65,1
110,3976,2026-04-15,"Signature","Atlantic","Social",23.11,1
111,704,2026-01-05,"Discovery","Atlantic","Retail_partner",35.19,0
112,1613,2026-04-13,"Standard","Atlantic","Organic",11.92,0
113,266,2026-01-20,"Standard","Atlantic","Organic",11.5,1
114,1646,2026-06-30,"Standard","Atlantic","Retail_partner",13.35,0
115,882,2026-01-16,"Standard","Atlantic","Retail_partner",12.12,0
116,237,2026-02-09,"Signature","Atlantic","Retail_partner",22.1,0
117,1692,2026-03-28,"Signature","Ontario","Organic",24.1,0
118,3867,2026-02-08,"Standard","Atlantic","Search",18.43,0
119,2802,2026-06-26,"Discovery","Atlantic","Search",27.78,0
120,1400,2026-04-25,"Discovery","Atlantic","Referral",33.02,1
121,2247,2026-01-04,"Standard","Ontario","Retail_partner",9.05,0
122,2138,2026-02-23,"Discovery","Atlantic","Organic",28.44,1
123,1570,2026-05-18,"Discovery","Atlantic","Search",29.27,0
124,262,2026-01-03,"Signature","Atlantic","Social",19.43,1
125,3411,2026-05-26,"Signature","Atlantic","Search",22.59,0
126,3105,2026-04-16,"Standard","Ontario","Search",16.26,1
127,1987,2026-06-17,"Standard","Atlantic","Referral",16.36,0
128,1149,2026-01-15,"Discovery","Ontario","Search",37.43,0
129,69,2026-02-24,"Standard","Ontario","Social",18.07,0
130,1935,2026-05-15,"Signature","Atlantic","Social",20.71,0
131,1265,2026-03-11,"Signature","Atlantic","Social",24.25,1
132,1158,2026-05-06,"Standard","Atlantic","Search",13.33,1
133,2070,2026-04-16,"Standard","Atlantic","Referral",15.08,0
134,470,2026-06-17,"Standard","Ontario","Organic",11.26,0
135,1814,2026-02-02,"Standard","Ontario","Organic",15.82,0
136,841,2026-01-03,"Standard","Atlantic","Organic",12.77,0
137,3792,2026-04-03,"Standard","Atlantic","Search",15.78,1
138,2118,2026-03-10,"Standard","Ontario","Organic",11.47,0
139,1369,2026-04-22,"Standard","Atlantic","Search",13.32,0
140,1047,2026-01-11,"Signature","Ontario","Search",22.75,0
141,1047,2026-05-03,"Standard","Atlantic","Search",11.53,0
142,861,2026-06-27,"Standard","Ontario","Referral",14.96,0
143,3504,2026-03-10,"Standard","Atlantic","Organic",14.64,0
144,949,2026-03-08,"Standard","Atlantic","Referral",11.86,0
145,1446,2026-02-02,"Signature","Atlantic","Social",20.98,0
146,2934,2026-02-17,"Standard","Atlantic","Search",21.88,1
147,3415,2026-03-09,"Standard","Atlantic","Organic",16.47,0
148,1667,2026-06-20,"Signature","Atlantic","Organic",23.1,0
149,3225,2026-04-07,"Signature","Atlantic","Organic",24.76,1
150,2916,2026-04-09,"Discovery","Atlantic","Organic",36.33,1
151,2509,2026-01-13,"Standard","Atlantic","Referral",10.37,0
152,3251,2026-01-15,"Standard","Ontario","Organic",16.19,1
153,1174,2026-03-20,"Standard","Ontario","Referral",10.91,0
154,1952,2026-01-29,"Standard","Atlantic","Organic",11.77,0
155,6,2026-01-25,"Standard","Atlantic","Organic",15.22,1
156,2232,2026-01-29,"Standard","Atlantic","Organic",13.34,1
157,1281,2026-04-07,"Standard","Atlantic","Organic",17.85,0
158,3667,2026-02-12,"Signature","Atlantic","Organic",21.64,0
159,1761,2026-02-02,"Discovery","Ontario","Retail_partner",34.42,0
160,3509,2026-04-07,"Signature","Atlantic","Social",19.84,0
161,3704,2026-04-16,"Signature","Atlantic","Search",24.81,0
162,2138,2026-04-06,"Signature","Atlantic","Social",21.68,0
163,66,2026-03-14,"Standard","Atlantic","Organic",15.09,1
164,2985,2026-06-13,"Standard","Ontario","Search",13.03,1
165,3997,2026-02-15,"Standard","Atlantic","Retail_partner",17.45,1
166,2371,2026-05-18,"Standard","Ontario","Social",18.29,0
167,898,2026-01-11,"Signature","Atlantic","Social",23.69,1
168,147,2026-02-14,"Discovery","Atlantic","Social",24.08,0
169,658,2026-01-27,"Standard","Atlantic","Organic",10.8,1
170,2122,2026-01-01,"Standard","Atlantic","Organic",10.87,1
171,741,2026-03-19,"Signature","Atlantic","Organic",24.28,0
172,3725,2026-02-12,"Standard","Ontario","Social",14.62,0
173,1074,2026-04-24,"Signature","Atlantic","Social",22.01,0
174,1462,2026-06-01,"Signature","Atlantic","Social",23.36,0
175,689,2026-04-19,"Signature","Atlantic","Search",20.66,0
176,2211,2026-06-14,"Standard","Atlantic","Referral",14.68,0
177,560,2026-06-17,"Signature","Atlantic","Organic",21.36,0
178,2408,2026-02-23,"Standard","Atlantic","Organic",15.01,0
179,1289,2026-05-11,"Standard","Atlantic","Organic",12.66,1
180,154,2026-02-09,"Standard","Atlantic","Referral",18.99,1
181,1010,2026-03-30,"Signature","Atlantic","Referral",23.6,0
182,854,2026-02-23,"Signature","Atlantic","Search",21.35,0
183,1422,2026-05-05,"Signature","Atlantic","Social",23.7,0
184,1365,2026-05-25,"Standard","Atlantic","Organic",14.54,0
185,3931,2026-02-24,"Standard","Atlantic","Organic",13.37,0
186,2168,2026-06-22,"Standard","Atlantic","Search",14.98,0
187,414,2026-05-26,"Signature","Atlantic","Retail_partner",21.46,0
188,3796,2026-05-30,"Standard","Ontario","Search",16.46,1
189,2270,2026-06-01,"Standard","Atlantic","Social",10.59,0
190,2935,2026-04-22,"Standard","Atlantic","Search",15.16,0
191,616,2026-02-01,"Standard","Atlantic","Organic",17.18,1
192,2442,2026-06-22,"Standard","Ontario","Organic",13.24,1
193,2916,2026-04-26,"Standard","Ontario","Referral",10.96,0
194,3612,2026-03-09,"Discovery","Atlantic","Social",35.2,0
195,2838,2026-04-14,"Standard","Atlantic","Organic",13.56,1
196,3475,2026-02-07,"Standard","Atlantic","Social",15.8,0
197,1927,2026-02-17,"Standard","Atlantic","Referral",15.65,0
198,2048,2026-05-10,"Standard","Atlantic","Organic",16.61,1
199,3936,2026-06-06,"Signature","Atlantic","Referral",21.42,0
200,2315,2026-05-19,"Standard","Atlantic","Organic",11.68,1
