"respondent_id","region","subscriber_status","tier","age","gender","tenure_months","wtp","satisfaction","prefers_dark_roast","brand_attach_1","brand_attach_2","brand_attach_3","brand_attach_4","brand_attach_5","needs_1","needs_2","needs_3","needs_4","needs_5","needs_6","needs_7","needs_8","needs_9","needs_10","needs_11","needs_12","pre_score","post_score"
1,"Atlantic","Current","Discovery",52,"F",4,28.03,5.3,"Yes",2,1,2,2,2,2,3,2,2,3,4,3,3,4,3,2,3,NA,NA
2,"Atlantic","Current","Standard",34,"M",61,22.48,7.4,"Yes",5,5,5,5,5,3,3,3,3,2,1,3,1,2,3,3,4,7.6,9.2
3,"Atlantic","Lapsed","Signature",47,"F",14,21.01,5.2,"No",2,3,4,2,2,2,2,3,2,2,3,2,3,1,2,3,2,NA,NA
4,"Atlantic","Lapsed","Signature",40,"M",17,23,6.8,"No",4,4,5,4,2,3,3,3,2,2,3,4,3,4,3,2,3,NA,NA
5,"Ontario_prospect","Current","Standard",29,"F",7,19.51,4.2,"No",1,2,2,3,1,4,3,3,3,4,3,4,4,2,3,2,3,NA,NA
6,"Atlantic","Current","Standard",21,"M",15,17.34,5.1,"No",4,3,5,4,3,1,1,3,1,2,3,2,3,2,3,1,2,NA,NA
7,"Atlantic","Current","Signature",61,"Nonbinary",4,23,6,"Yes",4,3,4,4,5,2,3,3,2,2,3,2,2,5,4,4,4,NA,NA
8,"Atlantic","Current","Standard",40,"F",1,18.44,4.5,"No",2,2,3,2,3,2,1,3,4,2,2,4,4,2,2,2,4,NA,NA
9,"Atlantic","Current","Standard",32,"M",13,18.69,6.4,"Yes",5,5,4,5,4,2,2,2,2,4,4,1,4,4,2,2,5,NA,NA
10,"Atlantic","Current","Signature",43,"M",1,24.3,7,"Yes",4,4,3,3,4,3,4,3,3,5,5,4,3,3,4,4,4,5.3,4.1
11,"Atlantic","Lapsed","Standard",24,"M",5,20.67,5.9,"Yes",1,4,3,3,3,5,4,3,3,4,3,4,4,5,5,3,5,NA,NA
12,"Ontario_prospect","Current","Discovery",26,"M",1,22.43,5.8,"No",2,2,4,4,2,2,2,3,3,3,3,4,3,3,2,3,3,5.9,6.8
13,"Ontario_prospect","Current","Standard",49,"M",6,22.05,5.7,"No",3,3,4,2,3,3,3,3,3,4,4,3,5,3,4,3,4,NA,NA
14,"Ontario_prospect","Lapsed","Signature",35,"F",27,17.49,3.9,"Yes",1,2,1,1,2,3,3,4,2,3,3,1,2,3,1,2,3,NA,NA
15,"Atlantic","Current","Signature",53,"M",6,28.51,7,"Yes",1,1,1,1,1,3,3,2,4,3,2,4,3,3,3,3,3,5.7,7.5
16,"Atlantic","Current","Signature",30,"M",11,23.42,5.2,"Yes",1,2,2,1,1,3,2,4,4,2,2,3,3,2,3,2,2,NA,NA
17,"Ontario_prospect","Lapsed","Signature",36,"F",3,16.55,6,"Yes",3,4,3,2,4,2,2,3,2,4,3,4,4,3,1,3,1,NA,NA
18,"Atlantic","Current","Standard",32,"M",52,22.47,5.6,"No",4,5,4,4,4,3,2,2,3,3,2,4,3,1,3,3,3,NA,NA
