"Age ","Gender","Village - town","Music 1","Music 2","Music 3","Music 4","Music 5","Music 6","Music 7","Music 8","Movies_1","Movies_2","Movies_3","Movies_4","Movies_5","Movies_6","loneliness_1","loneliness_2"
20,"female","city",2,3,2,4,4,1,4,1,1,2,5,2,3,3,5,3
19,"male","city",2,4,3,3,4,1,1,2,3,1,5,4,5,3,3,3
18,"female","village",2,5,1,5,5,1,5,5,2,3,3,2,,3,5,3
19,"female","village",3,4,2,5,1,3,3,4,1,2,2,1,4,3,3,4
20,"female",,3,3,4,2,5,5,5,3,4,,5,2,5,3,1,4
19,"male",,1,5,1,2,2,,5,,1,3,1,3,1,2,3,3
23,"female","city",2,3,1,4,2,1,2,2,4,4,4,4,3,1,2,3
19,"male","city",1,,4,,2,2,1,4,5,1,4,1,2,4,3,3
,"male","city",4,5,4,3,3,2,2,5,5,2,3,2,1,4,4,1
19,"female","city",2,,4,5,5,3,5,2,4,2,2,1,5,2,2,3
20,"female","city",3,2,2,1,4,3,2,3,4,1,2,1,1,3,3,3
19,"male","city",,5,5,1,3,,,1,2,1,2,4,2,3,5,2
23,"female","city",3,5,3,2,2,1,1,5,3,4,1,5,4,1,4,3
20,"female","city",2,4,5,4,4,,4,5,1,1,5,4,,4,1,3
25,"male","village",2,2,3,3,2,1,2,5,5,1,,4,5,1,4,3
,"male","village",5,1,4,4,3,2,,4,5,5,5,5,4,1,5,
18,"","city",2,2,2,3,4,3,3,2,2,2,5,5,5,,1,4
16,"female","village",2,1,1,5,3,5,5,5,4,1,3,4,3,,4,3
22,"male","city",,5,3,,1,2,2,2,5,1,3,2,4,2,5,2
19,"female","village",2,3,,4,5,5,1,1,2,1,4,5,1,2,1,4
22,"female","village",2,1,3,2,5,2,4,1,4,4,3,1,4,5,2,5
25,"female","city",4,4,2,2,5,4,5,5,2,3,2,4,5,,1,
22,"male","village",3,5,,2,4,1,4,5,5,1,4,2,,1,4,4
21,"female","village",5,2,5,4,3,3,,4,,5,1,4,4,3,5,2
19,"female","village",3,3,2,3,1,2,2,4,5,3,2,1,5,1,5,1
16,"female","village",1,2,4,5,3,1,2,1,2,2,4,1,1,3,4,4
22,"male","city",1,2,1,,1,5,3,3,,3,2,3,5,4,2,4
25,"male","city",3,,1,5,4,2,4,5,2,1,4,5,4,3,3,3
19,"NA","village",1,1,4,3,3,2,1,4,4,2,2,3,1,2,3,3
20,"female","city",4,1,5,2,2,3,2,4,5,4,2,3,1,1,4,
21,"male","city",3,5,1,4,2,4,3,1,3,5,5,3,3,2,3,
20,"female","city",4,1,1,1,4,4,2,5,5,,2,,4,,1,3
,"female","village",2,1,4,5,3,3,3,3,2,2,,3,4,3,2,4
18,"male","city",1,2,5,2,3,2,2,5,2,2,2,4,2,5,3,3
25,"female","city",4,3,5,4,1,4,,2,1,4,4,1,4,1,5,1
21,"female","village",5,3,5,2,1,1,5,1,2,3,3,1,2,1,3,3
24,"female","city",2,1,1,,,2,2,4,3,3,1,5,2,3,4,4
15,"female","village",5,5,,1,,4,3,3,,3,4,4,1,3,2,3
16,"male","city",1,2,3,5,3,1,5,,3,1,5,2,2,2,3,3
20,"female","city",1,4,1,1,3,3,2,5,3,5,5,1,1,2,3,2
20,"male","city",2,3,3,3,1,2,2,,2,3,4,4,5,2,1,4
16,"male","village",5,2,1,,3,1,2,5,1,1,3,2,5,5,4,3
18,"NA","village",1,2,1,2,4,5,1,,5,2,5,5,3,5,4,2
26,"female","village",,4,2,,1,2,3,3,2,1,2,2,2,5,4,
20,"female","village",4,5,3,4,5,2,2,2,1,3,2,3,1,1,3,4
18,"male","city",2,2,3,4,4,5,1,5,4,3,4,3,3,3,1,5
21,"male","city",4,5,1,3,4,2,3,2,5,3,3,5,,1,5,1
21,"male","city",5,1,1,3,1,1,1,5,3,4,1,1,5,5,2,3
21,"male","village",5,1,2,2,5,4,1,4,3,1,4,3,1,3,2,3
,"male","city",1,4,4,,4,4,4,5,,1,1,4,2,1,2,5
19,"female","city",3,5,5,4,3,3,1,1,3,4,3,3,2,5,2,5
21,"female","village",3,2,5,1,1,5,1,3,4,2,4,2,5,5,5,
20,"female","city",3,1,2,1,5,4,5,5,5,1,2,4,2,,3,3
20,"male","village",5,2,3,,1,1,5,3,3,3,3,3,5,2,3,3
16,"female","city",1,5,4,2,4,5,2,,5,1,2,3,,5,4,1
24,"male","city",1,3,1,5,5,2,2,3,3,4,2,2,1,5,5,3
