"subscriber_id","treatment","age","gender","tenure_months","upgraded"
1,"new_offer",26,"F",10,1
2,"control",28,"F",8,0
3,"new_offer",36,"F",6,0
4,"new_offer",35,"M",15,0
5,"control",21,"F",55,0
6,"new_offer",42,"F",11,0
7,"new_offer",43,"M",53,0
8,"control",32,"Nonbinary",30,1
9,"new_offer",37,"F",17,1
10,"control",34,"F",19,0
11,"control",52,"F",53,0
12,"new_offer",43,"F",24,1
13,"control",52,"F",7,1
14,"new_offer",30,"M",67,0
15,"new_offer",32,"M",19,0
16,"new_offer",32,"M",9,0
17,"control",38,"F",2,0
18,"new_offer",23,"F",4,0
19,"new_offer",31,"M",8,0
20,"new_offer",45,"M",21,0
21,"control",31,"Nonbinary",14,0
22,"new_offer",25,"F",3,1
23,"new_offer",48,"M",7,0
24,"control",37,"M",20,0
25,"new_offer",42,"M",15,1
26,"new_offer",34,"F",20,0
27,"new_offer",25,"M",2,0
28,"new_offer",23,"M",1,0
29,"new_offer",53,"M",12,0
30,"new_offer",25,"F",3,0
31,"control",34,"F",4,1
32,"control",59,"M",3,0
33,"control",21,"M",10,0
34,"control",36,"M",15,0
35,"control",34,"F",5,0
36,"new_offer",27,"F",30,0
37,"new_offer",50,"M",1,1
38,"control",33,"M",13,1
39,"new_offer",44,"M",1,0
40,"control",39,"F",18,0
41,"new_offer",36,"F",2,0
42,"control",22,"M",88,0
43,"new_offer",39,"M",3,0
44,"control",24,"F",7,0
45,"control",39,"M",19,1
46,"new_offer",50,"M",7,0
47,"new_offer",40,"F",53,0
48,"control",38,"Nonbinary",8,0
49,"new_offer",33,"F",70,0
50,"new_offer",63,"M",1,0
51,"new_offer",65,"M",17,0
52,"new_offer",44,"M",8,0
53,"control",54,"M",20,1
54,"control",28,"M",13,0
55,"new_offer",53,"M",2,0
56,"control",36,"F",22,1
57,"control",41,"M",3,0
58,"new_offer",51,"F",40,0
59,"control",21,"F",6,0
60,"control",35,"F",17,0
61,"control",35,"M",10,0
62,"control",48,"M",38,0
63,"control",34,"M",18,0
64,"new_offer",29,"F",1,0
65,"control",21,"M",3,0
66,"control",46,"M",18,0
67,"new_offer",30,"M",47,0
68,"control",45,"M",6,0
69,"new_offer",42,"F",1,0
70,"new_offer",56,"F",36,0
71,"control",21,"F",29,0
72,"new_offer",42,"M",20,0
73,"control",21,"M",17,0
74,"new_offer",36,"F",8,0
75,"control",35,"M",14,0
76,"control",63,"M",8,0
77,"new_offer",22,"F",36,0
78,"control",28,"F",3,1
79,"new_offer",28,"M",4,0
80,"new_offer",21,"F",16,0
81,"control",30,"F",2,0
82,"new_offer",48,"F",96,0
83,"new_offer",22,"F",3,0
84,"new_offer",34,"F",3,0
85,"new_offer",23,"F",63,1
86,"control",58,"M",24,0
87,"new_offer",51,"F",6,0
88,"control",56,"M",2,1
89,"control",39,"F",30,0
90,"control",42,"F",20,0
91,"control",44,"M",5,0
92,"new_offer",21,"M",24,0
93,"control",21,"F",1,0
94,"new_offer",30,"M",6,0
95,"new_offer",40,"F",3,1
96,"new_offer",50,"F",10,0
97,"new_offer",33,"M",8,0
98,"new_offer",56,"M",55,0
99,"new_offer",35,"M",22,0
100,"new_offer",22,"M",7,1
