"province","year","spending"
"Alberta",2019,323.5
"Alberta",2020,337.27
"Alberta",2021,347.56
"Alberta",2022,361.28
"Alberta",2023,383.56
"Alberta",2024,389.53
"British Columbia",2019,348.53
"British Columbia",2020,360.43
"British Columbia",2021,372.17
"British Columbia",2022,384.71
"British Columbia",2023,406.5
"British Columbia",2024,417.1
"Manitoba",2019,301.44
"Manitoba",2020,311.94
"Manitoba",2021,317.94
"Manitoba",2022,333.32
"Manitoba",2023,344.82
"Manitoba",2024,355.19
"New Brunswick",2019,291.69
"New Brunswick",2020,308.68
"New Brunswick",2021,321.21
"New Brunswick",2022,318.95
"New Brunswick",2023,327.34
"New Brunswick",2024,341.37
"Newfoundland",2019,285.68
"Newfoundland",2020,293.24
"Newfoundland",2021,305.09
"Newfoundland",2022,329.17
"Newfoundland",2023,328.86
"Newfoundland",2024,336.18
"Nova Scotia",2019,311.14
"Nova Scotia",2020,328.12
"Nova Scotia",2021,331.88
"Nova Scotia",2022,344.81
"Nova Scotia",2023,361.12
"Nova Scotia",2024,385.27
"Ontario",2019,337.32
"Ontario",2020,348.84
"Ontario",2021,361.06
"Ontario",2022,384.15
"Ontario",2023,384.38
"Ontario",2024,403.39
"PEI",2019,287.03
"PEI",2020,304.91
"PEI",2021,328.22
"PEI",2022,328.51
"PEI",2023,341.73
"PEI",2024,356.42
"Quebec",2019,327.47
"Quebec",2020,326.07
"Quebec",2021,351.07
"Quebec",2022,356.88
"Quebec",2023,376.06
"Quebec",2024,394.63
"Saskatchewan",2019,289.29
"Saskatchewan",2020,304.02
"Saskatchewan",2021,300.32
"Saskatchewan",2022,315.35
"Saskatchewan",2023,341.33
"Saskatchewan",2024,333.55
